category,value,id,name,price,image,description,featured
Main Course,main-course,1,Lechon Kawali,₱450,https://mdzljfhbkaxrhahqhmzz.supabase.co/storage/v1/object/sign/xzeron_data/lechon_kawali1.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV83MWZhM2E2OS1kODc3LTRlYTctYWRkYy1hN2E3Y2ZmM2YxNzAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ4emVyb25fZGF0YS9sZWNob25fa2F3YWxpMS5wbmciLCJpYXQiOjE3NTYyMTEyODcsImV4cCI6MzE3MDg0Njc1Mjg3fQ.2ac_wRxM1Sipmc_rB9jP6cN0QN4-4hcj-t7_wAk6MBQ,Crispy fried pork belly with lechon sauce,true
Main Course,main-course,2,Sinigang na Baboy,₱350,https://mdzljfhbkaxrhahqhmzz.supabase.co/storage/v1/object/sign/xzeron_data/Sinigang_na_baboy.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV83MWZhM2E2OS1kODc3LTRlYTctYWRkYy1hN2E3Y2ZmM2YxNzAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ4emVyb25fZGF0YS9TaW5pZ2FuZ19uYV9iYWJveS5wbmciLCJpYXQiOjE3NTYyMTEzMTAsImV4cCI6MzE3MDg0Njc1MzEwfQ.TPlSHz9fsg3wvLQnLL4NGBIzLV77NsWNumfnKKBwkgc,Traditional sour soup with pork and vegetables,false
Main Course,main-course,3,Crispy Pata,₱650,https://mdzljfhbkaxrhahqhmzz.supabase.co/storage/v1/object/sign/xzeron_data/Crispy_pata.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV83MWZhM2E2OS1kODc3LTRlYTctYWRkYy1hN2E3Y2ZmM2YxNzAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ4emVyb25fZGF0YS9DcmlzcHlfcGF0YS5wbmciLCJpYXQiOjE3NTYyMTE1ODAsImV4cCI6MzE1NTMyNDY3NTU4MH0.Jor1Y53Quz6KHn44HnepAYTSp0znTnFKIXK4vfT_Hbw,Deep-fried pig trotters served with a soy-vinegar dip.,true
Main Course,main-course,4,Kare-Kare,₱450,https://mdzljfhbkaxrhahqhmzz.supabase.co/storage/v1/object/sign/xzeron_data/Kare.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV83MWZhM2E2OS1kODc3LTRlYTctYWRkYy1hN2E3Y2ZmM2YxNzAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ4emVyb25fZGF0YS9LYXJlLnBuZyIsImlhdCI6MTc1NjIxMTY2NywiZXhwIjozMTcwODQ2NzU2Njd9.2IIRO47_qjCbAoX_GlsOVFhhcu8ob-HUQTq2MGniSV8,A traditional Filipino stew with a rich and thick peanut sauce.,false
Main Course,main-course,11,Chicken Sinampalukan,₱380,https://mdzljfhbkaxrhahqhmzz.supabase.co/storage/v1/object/sign/xzeron_data/Chicken_sinampalukan.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV83MWZhM2E2OS1kODc3LTRlYTctYWRkYy1hN2E3Y2ZmM2YxNzAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ4emVyb25fZGF0YS9DaGlja2VuX3NpbmFtcGFsdWthbi5wbmciLCJpYXQiOjE3NTYyMjQzMjMsImV4cCI6OTYxNzU2MjE0NzIzfQ.P9DcJVay2-ua-kMj8PHJiReZ2N6OSZf4Vs2bbzMWULY,A Filipino chicken soup with a sour broth flavored with tamarind leaves and fruit. The chicken is simmered with vegetables, creating a tangy and savory dish.,false
Main Course,main-course,12,Grilled Chicken,₱219,https://mdzljfhbkaxrhahqhmzz.supabase.co/storage/v1/object/sign/xzeron_data/Grilled_Chicken.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV83MWZhM2E2OS1kODc3LTRlYTctYWRkYy1hN2E3Y2ZmM2YxNzAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ4emVyb25fZGF0YS9HcmlsbGVkX0NoaWNrZW4ucG5nIiwiaWF0IjoxNzU2MjI0NDY3LCJleHAiOjExMzU2MjE0ODY3fQ.4jod1iedbLjufzCiy2LFG-IQkzqOWV5xFZBkIfOrGLk,A smoky and tender chicken dish, marinated in a special blend of spices and grilled to perfection.,false
Main Course,main-course,13,Cavite Xpress,₱350,https://mdzljfhbkaxrhahqhmzz.supabase.co/storage/v1/object/sign/xzeron_data/Cavite_Xpress.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV83MWZhM2E2OS1kODc3LTRlYTctYWRkYy1hN2E3Y2ZmM2YxNzAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ4emVyb25fZGF0YS9DYXZpdGVfWHByZXNzLnBuZyIsImlhdCI6MTc1NjIyNDUyOCwiZXhwIjo5NjE3NTYyMTQ5Mjh9.NT2md1V6r2H4qQaZrzSMZeSeeqScuUbyAi4iyGWzIdM,It is a twisted version that uses only kalumbahin or a variety of coconut that produces a sweet and sumptuous taste of coconut milk. It is made healthier because ROC uses halaan (clams) and popular native tinapa from Salinas, Cavite.,false
Appetizer,appetizer,5,Crispy Lumpia,₱150,https://mdzljfhbkaxrhahqhmzz.supabase.co/storage/v1/object/sign/xzeron_data/Lumpia.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV83MWZhM2E2OS1kODc3LTRlYTctYWRkYy1hN2E3Y2ZmM2YxNzAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ4emVyb25fZGF0YS9MdW1waWEucG5nIiwiaWF0IjoxNzU2MjExODI3LCJleHAiOjMxNzA4NDY3NTgyN30.B7a6EkKUbXcanyNPKORnO6Hqr8-yS4J-e7LZsJFgIvU,Fresh spring rolls with ground pork and vegetables,true
Appetizer,appetizer,6,Tokwa't Baboy,₱200,https://mdzljfhbkaxrhahqhmzz.supabase.co/storage/v1/object/sign/xzeron_data/tokwa.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV83MWZhM2E2OS1kODc3LTRlYTctYWRkYy1hN2E3Y2ZmM2YxNzAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ4emVyb25fZGF0YS90b2t3YS5wbmciLCJpYXQiOjE3NTYyMTIwNDcsImV4cCI6MzE3MDg0Njc2MDQ3fQ.CsBWYbtiuoehVhkZXtDA02w34AHPqjR3inQVhrqturY,Fried tofu with pork ears in a soy sauce and vinegar dressing.,false
Soup,soup,7,Bulalo,₱550,https://mdzljfhbkaxrhahqhmzz.supabase.co/storage/v1/object/sign/xzeron_data/bulalo.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV83MWZhM2E2OS1kODc3LTRlYTctYWRkYy1hN2E3Y2ZmM2YxNzAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJ4emVyb25fZGF0YS9idWxhbG8ucG5nIiwiaWF0IjoxNzU2MjEyMjMwLCJleHAiOjMxNTUzMjQ2NzYyMzB9.hxvfZ0nOrJ_AMDGgwTG_QABkCDveD3WJaGJxpom8TXo,A light-colored soup that is made by cooking beef shanks and bone marrow.,false
